t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL,v4_PERL,Y4_PERL,a5_mpc_base2,v5_mpc_base2,Y5_mpc_base2,a5_mpc_base3,v5_mpc_base3,Y5_mpc_base3
10.4,350,197.2783,9.0504,-0.0961,355,171.8842,9.1753,-0.1861,361,156.67,8.0198,0.2381,364,143.0063,8.2852,-0.0984,372,130.7981,9.0532,0.2385,379,112.8534,9.2362,-0.1725,-1.411094742324477,-0.0392041206359863,8.08143846851349,143.08982726497794,-0.1295327198807519,8.138897875131322,129.35307225325232,-0.20016024859707285,8.417099146800185,130.9372034388842
10.5,350,198.1828,9.0412,-0.045,355,172.8006,9.1522,-0.2595,361,157.4732,8.0433,0.2354,364,143.8346,8.2799,-0.064,372,131.7047,9.0778,0.1607,379,113.7761,9.2183,-0.1843,-1.4009555140302692,-0.0671782493591308,8.074720643577576,143.89729932933568,-0.1251517259175432,8.125944603143246,130.16566671356665,-0.19528919583473686,8.397083121940478,131.77691175107825
10.6,350,199.0866,9.0348,-0.0286,355,173.7145,9.1256,-0.335,361,158.2787,8.0668,0.2358,364,144.6622,8.2736,-0.0727,372,132.6132,9.0925,0.078,379,114.697,9.1992,-0.1597,-1.3868817132526223,-0.011502981185913,8.073570345458984,144.70465636388158,-0.1232466053314603,8.113429430551491,130.9770096566218,-0.19163305149099333,8.377554202357004,132.61466717131395
10.7,350,199.9899,9.0313,-0.0126,355,174.6254,9.0933,-0.385,361,159.0865,8.0905,0.24,364,145.4892,8.2665,-0.0814,372,133.5227,9.0974,0.0035,379,115.6159,9.1795,-0.1568,-1.369973324225261,-0.0675609111785888,8.066814254341125,145.5113377893157,-0.1194680153536142,8.101104770018345,131.78712013362363,-0.18785969056359644,8.358390897207904,133.45050626103475
10.8,350,200.893,9.0305,0.0039,355,175.533,9.0588,-0.2954,361,159.8968,8.1147,0.2463,364,146.3155,8.2583,-0.0951,372,134.4323,9.0937,-0.0975,379,116.533,9.1622,-0.1211,-1.3504452710037846,-0.0654668807983398,8.060267566261292,146.3173645459418,-0.1148792904890917,8.089157968482985,132.5960359304719,-0.18429134390500435,8.339604928151545,134.2844667538499
10.9,350,201.7962,9.0329,0.0521,355,176.4373,9.0267,-0.2531,361,160.7095,8.1398,0.2565,364,147.1408,8.2486,-0.1042,372,135.3411,9.0828,-0.1786,379,117.4487,9.1514,-0.0516,-1.3275348192538443,-0.0814425945281982,8.052123306808472,147.12257687662267,-0.1089772352871529,8.077670039434075,133.40380293441532,-0.1807555214328771,8.321175793761045,135.116584333226
11.0,350,202.6998,9.0396,0.1155,355,177.3387,9.0012,-0.1833,361,161.5248,8.1659,0.2667,364,147.9651,8.2371,-0.1212,372,136.2485,9.0664,-0.2355,379,118.3638,9.1503,0.0458,-1.3003307341671098,-0.0733392238616943,8.044789384422302,147.9270558150649,-0.1038788194876822,8.066772315905359,134.21048016600588,-0.17765865480801052,8.303100241617758,135.94689435738778
11.1,350,203.6044,9.0524,0.2032,355,178.2379,8.984,-0.1105,361,162.3427,8.1926,0.2676,364,148.7882,8.2245,-0.1274,372,137.1542,9.0466,-0.1947,379,119.2793,9.1592,0.1573,-1.2683271819568462,-0.0795512199401855,8.036834262428284,148.73073924130773,-0.0967077884713224,8.056384433956591,135.01611860940153,-0.173892203916492,8.285334376136957,136.77542779500146
11.2,350,204.5107,9.0726,0.3035,355,179.1359,8.9745,-0.1178,361,163.1633,8.2184,0.2335,364,149.61,8.2121,-0.1155,372,138.0578,9.0259,-0.1923,379,120.1961,9.1769,0.2429,-1.2328418611521532,-0.0828124284744262,8.02855301958084,149.53359454326582,-0.0883731879755908,8.046713655109459,135.8207899749125,-0.16953015609281202,8.267945155745307,137.602222310576
11.3,350,205.4193,9.1004,0.2919,355,180.0332,8.9716,-0.0017,361,163.9863,8.2414,0.1995,364,150.4307,8.2018,-0.0525,372,138.9594,9.0066,-0.1671,379,121.1149,9.1998,0.2751,-1.196820515604135,-0.062692642211914,8.02228375535965,150.33582291880177,-0.0775971169477993,8.0378763363119,136.62457760854366,-0.16401972989294003,8.250992140136026,138.42732152458962
11.4,350,206.331,9.1331,0.3207,355,180.9305,8.9745,0.1209,361,164.8114,8.2609,0.1657,364,151.2505,8.1945,-0.0334,372,139.8593,8.9907,-0.1292,379,122.036,9.2224,0.1795,-1.164547097337205,0.0044150352478027,8.02272525888443,151.1380954446902,-0.0671974996426832,8.03011662461712,137.4275892710054,-0.15800897000580214,8.234590167146731,139.2507805413043
11.5,350,207.246,9.166,0.2961,355,181.8284,8.9843,0.2672,361,165.6383,8.2774,0.1462,364,152.0698,8.1902,-0.0178,372,140.7578,8.9783,-0.1309,379,122.9591,9.2398,0.1206,-1.1379195010020098,-0.0116407871246337,8.021561180171966,151.9402515627074,-0.0559678636113417,8.023396874652851,138.22992895847068,-0.15098007115283824,8.21878927014615,140.0726594683189
