Time,Speed1,E1,N1,Speed2,E2,N2,IVS1,A1,A2
739.5,19.19333333,-449.8768625109408,1142.5010294100678,18.99222222,-429.1032132792944,1154.5210724145422,19.61154033201964,-0.04848489999995883,-0.1414141999999819
739.6,19.18818182,-451.5013533150988,1141.481118452977,18.97818182,-430.7925277913519,1153.654881608488,19.632989175325807,-0.05151509999999854,-0.14040399999995762
739.7,19.17888889,-453.1192673167173,1140.4521615669685,18.96444445,-432.47537190262256,1152.7784613288534,19.654878299640558,-0.09292929999998752,-0.1373736999999807
739.8,19.17454546,-454.7302608214609,1139.4133595064036,18.94909091,-434.15045564408126,1151.8919631521885,19.678486991530782,-0.04343430000002655,-0.15353540000013519
739.9,19.16666667,-456.334484318975,1138.3649257793377,18.94111111,-435.8196632403234,1150.9950111843907,19.70201370279025,-0.07878789999997678,-0.07979799999995725
740.0,19.16090909,-457.9313484866468,1137.307222964355,18.93272727,-437.48205071562177,1150.0880283690767,19.725783144813946,-0.05757579999999619,-0.08383839999998569
740.1,19.15666667,-459.52168259275766,1136.2406915878048,18.91888889,-439.1379574324183,1149.1708250735412,19.749860854879067,-0.042424199999996706,-0.13838379999996114
740.2,19.15,-461.1047488503796,1135.164236279771,18.90818182,-440.7870237129698,1148.2431702269866,19.77437037656272,-0.06666669999999802,-0.10707069999999827
740.3,19.14222222,-462.68107805187134,1134.0794544778737,18.89666667,-442.4287752950236,1147.306543268547,19.8000811076278,-0.0777778000000492,-0.11515150000011502
740.4,19.13545455,-464.24946331500433,1132.986010985252,18.88545455,-444.0626484644535,1146.358940984446,19.82551528678122,-0.06767670000000574,-0.11212119999997165
740.5,19.12666667,-465.81053910562014,1131.8835694869051,18.87444445,-445.6892735713035,1145.4008229322044,19.851079773113906,-0.08787879999997861,-0.11010099999997519
740.6,19.11909091,-467.363219794383,1130.7709420827498,18.85909091,-447.3075617460528,1144.431596563525,19.877085399064264,-0.07575759999996433,-0.15353539999996063
740.7,19.10888889,-468.90861700593047,1129.6490932327984,18.84444445,-448.91792145818937,1143.4514378080737,19.90364547670953,-0.10202019999998936,-0.146464599999947
740.8,19.09909091,-470.4467494774207,1128.5188321559986,18.83363636,-450.5196080268283,1142.4601220064294,19.930755942148227,-0.0979798000000723,-0.10808090000010988
740.9,19.09,-471.9778684925727,1127.3800960162914,18.82,-452.1135772023352,1141.4589955225506,19.958597001978266,-0.09090909999999107,-0.1363635999999647
741.0,19.08272727,-473.5018254703821,1126.232593360365,18.80545455,-453.6990713322312,1140.447030879208,19.98720367147325,-0.0727272999999874,-0.1454544999999665
741.1,19.07666667,-475.0189643511527,1125.0773023598788,18.79111111,-455.2768378810027,1139.424962538906,20.016059110279727,-0.06060599999996484,-0.14343439999997834
741.2,19.07272727,-476.52893893392985,1123.9126285249886,18.77454546,-456.8454807022147,1138.3923200930233,20.046629639219223,-0.039393999999992525,-0.16565649999996665
741.3,19.07111111,-478.0321833021057,1122.7406004730751,18.75777778,-458.40626622414703,1137.3503403601358,20.077734982798177,-0.01616160000002558,-0.16767680000012647
741.4,19.06090909,-479.52754694384384,1121.559966891999,18.74181818,-459.9589646361348,1136.2989331490376,20.10929667262001,-0.10202019999998936,-0.15959599999998555
741.5,19.05222222,-481.01515155069023,1120.3707327808734,18.72666667,-461.5031970422906,1135.237849537336,20.141542786252185,-0.08686869999996262,-0.1515150999999559
741.6,19.04727273,-482.49387261570143,1119.1727664056564,18.71,-463.0387299038704,1134.167169352934,20.173872341870805,-0.049494900000002076,-0.1666666999999554
741.7,19.04111111,-483.9646925918464,1117.9659652357564,18.69444445,-464.5660422995395,1133.0867475123976,20.206643716333296,-0.06161619999998911,-0.15555549999998436
741.8,19.03181818,-485.42715235996513,1116.7506533133078,18.67636364,-466.0839947530584,1131.9963259649694,20.240012988897,-0.09292930000009317,-0.18080810000013617
741.9,19.02333333,-486.88189950242287,1115.527560425551,18.65888889,-467.594230523922,1130.8969200698043,20.273347627479392,-0.08484849999996616,-0.17474749999997674
742.0,19.01363636,-488.32873970372566,1114.2963590249867,18.64363637,-469.0953750571368,1129.7879303583074,20.30737823657577,-0.09696969999998044,-0.1525251999999719
742.1,19.00333333,-489.7671667255708,1113.0569878974743,18.63,-470.5880455383841,1128.6702191784364,20.341784066535627,-0.10303029999996982,-0.13636369999997297
742.2,18.99454546,-491.1972516547044,1111.809358828203,18.61727273,-472.07245483673296,1127.544191295596,20.376758742780787,-0.08787869999997033,-0.12727269999996285
742.3,18.98555556,-492.6182825027644,1110.5531235257567,18.60444445,-473.5492020796794,1126.4094757413231,20.411276888901483,-0.08989900000007728,-0.1282828000001247
742.4,18.97363636,-494.0309367918597,1109.2880369572374,18.59272727,-475.0180023002739,1125.2666251229482,20.44659859859889,-0.1191919999999853,-0.11717179999995331
742.5,18.96555556,-495.4352091838364,1108.0153588700152,18.58,-476.48005321863457,1124.116675440822,20.481672145691327,-0.08080800000000049,-0.12727269999999838
742.6,18.95636364,-496.83135725616216,1106.7340158837667,18.56818182,-477.9338212653152,1122.9588855597808,20.518092614936037,-0.09191919999997153,-0.11818179999996103
742.7,18.95,-498.219725750165,1105.4454103771154,18.56,-479.3797770496786,1121.7926924762826,20.55448209586444,-0.06363639999998556,-0.08181819999998922
742.8,18.94272727,-499.5995103767266,1104.1489956521389,18.55636364,-480.8174959477751,1120.6177290830278,20.59065665951022,-0.07272730000007008,-0.03636360000001314
742.9,18.93666667,-500.9712963706916,1102.8447647371734,18.54111111,-482.2474402834864,1119.4339220955817,20.62665367197901,-0.06060599999996484,-0.15252529999998019
743.0,18.93272727,-502.3349392517331,1101.5318831565196,18.53181818,-483.6684605552408,1118.2414381136427,20.66387715596197,-0.039393999999992525,-0.09292929999998752
743.1,18.92444444,-503.6911430912394,1100.2120685817192,18.52666667,-485.0823223287858,1117.0421292147971,20.701618786355308,-0.08282830000000523,-0.05151509999996301
743.2,18.92272727,-505.0384976319701,1098.8840844959416,18.52090909,-486.4890286500399,1115.8353982216445,20.73926767882725,-0.01717169999998767,-0.05757579999999619
743.3,18.91444445,-506.37863401876257,1097.549790315392,18.51222222,-487.88861579594527,1114.6213914704356,20.776856629111663,-0.08282820000005559,-0.08686870000006137
743.4,18.91090909,-507.7113393743112,1096.20692469729,18.51,-489.28098129918686,1113.3991905012124,20.815208026637222,-0.03535359999999961,-0.022222199999996584
743.5,18.90333333,-509.03617552720254,1094.8567029692751,18.50111111,-490.66598352098765,1112.1695876815636,20.85381940287564,-0.07575759999999986,-0.08888889999999461
743.6,18.9,-510.3527070055882,1093.4983798461003,18.49272727,-492.0430999825141,1110.932302449999,20.89307599660556,-0.033333299999994875,-0.08383839999998569
743.7,18.89222222,-511.6614193862568,1092.1324254982535,18.48444445,-493.4123426253311,1109.6880893388525,20.933522297556657,-0.07777779999996079,-0.08282819999996142
743.8,18.88909091,-512.9616645784391,1090.759351283031,18.48,-494.77398415003006,1108.4363653054504,20.97373928649564,-0.03131310000003401,-0.04444450000005196
743.9,18.88444444,-514.2540816774133,1089.3795626846456,18.47555556,-496.1286727920978,1107.1778893699588,21.01396990623357,-0.046464699999997895,-0.04444439999999317
744.0,18.88090909,-515.5389148245941,1087.9929906939694,18.47090909,-497.4761907576986,1105.9120713300144,21.05418084591412,-0.035353499999991336,-0.046464699999997895
744.1,18.88,-516.8161560956494,1086.5997197136928,18.46111111,-498.8167903498492,1104.6403227605142,21.09512300912204,-0.00909090000000183,-0.09797979999996091
744.2,18.88090909,-518.085991628396,1085.1997852274922,18.45454546,-500.1502029532688,1103.3622553228226,21.136826830145832,0.00909090000000183,-0.06565650000000928
744.3,18.88,-519.3487513786132,1083.793132453848,18.45,-501.47738767693255,1102.0794990068714,21.180060253933465,-0.009090900000012166,-0.04545460000003358
744.4,18.88,-520.6039073032289,1082.3793347389771,18.44545455,-502.7984592973379,1100.7909806125865,21.22393974665313,0.0,-0.045454499999973634
